"learn_num","learn_title","learn_teacher","image_link","learn_link","price","sale_price"
468,"스타트업 A to Z","제주코딩베이스캠프","https://cdn.inflearn.com/public/course-326293-cover/20f64046-c49d-4c85-8e92-0892aaf79e96","https://www.inflearn.com/course/%EC%8A%A4%ED%83%80%ED%8A%B8%EC%97%85",-1,0
469,"코딩테스트 전 꼭 알아야 할 개념과 문제(with 자바)","푸샵맨 코딩스터디","https://cdn.inflearn.com/public/courses/326285/cover/8740c9fa-0ee0-42c2-9179-b0601b0e0c1c","https://www.inflearn.com/course/%EC%BD%94%EB%94%A9%ED%85%8C%EC%8A%A4%ED%8A%B8-%EC%9E%90%EB%B0%94-%EA%B0%9C%EB%85%90",61600,88000
470,"영상편집 프리미어 프로 중급자가 되기 위한 코스","쇼콜라떼","https://cdn.inflearn.com/public/courses/326266/cover/27397b5c-8fb7-41eb-a44e-eafbfce902f6","https://www.inflearn.com/course/%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91-%ED%94%84%EB%A6%AC%EB%AF%B8%EC%96%B4%ED%94%84%EB%A1%9C-%EC%A4%91%EA%B8%89",15400,22000
471,"Swift 언어로 만드는 고스톱 게임","쎄뮤","https://cdn.inflearn.com/public/course-326237-cover/97318858-4127-4574-a363-17285b8b2954","https://www.inflearn.com/course/%EC%8A%A4%EC%9C%84%ED%94%84%ED%8A%B8-%EA%B3%A0%EC%8A%A4%ED%86%B1%EA%B2%8C%EC%9E%84",38500,55000
472,"Swift 언어로 배우는 iOS 장기 게임 (Korean Chess)","쎄뮤","https://cdn.inflearn.com/public/course-326236-cover/aa07be70-d5cc-4d5c-887b-c2b91c20a6e3","https://www.inflearn.com/course/%EC%8A%A4%EC%9C%84%ED%94%84%ED%8A%B8-%EC%9E%A5%EA%B8%B0%EA%B2%8C%EC%9E%84",30800,44000
473,"Swift 언어로 만드는 테트리스 게임","쎄뮤","https://cdn.inflearn.com/public/course-326233-cover/dccc0feb-b331-464e-a072-647e38347982","https://www.inflearn.com/course/%EC%8A%A4%EC%9C%84%ED%94%84%ED%8A%B8-%ED%85%8C%ED%8A%B8%EB%A6%AC%EC%8A%A4%EA%B2%8C%EC%9E%84",23100,33000
474,"아메리카노 한 잔으로 듣는 구글시트 기초","박범진","https://cdn.inflearn.com/public/course-326223-cover/536c70c7-be58-4bea-b7f7-f7ab1b28d344","https://www.inflearn.com/course/%EA%B5%AC%EA%B8%80%EC%8B%9C%ED%8A%B8-%EA%B8%B0%EC%B4%88",4950,5500
475,"SQL과 구글시트로 시작하는 데이터분석","박범진","https://cdn.inflearn.com/public/course-326209-cover/2f22c0fc-a770-4527-994e-f68212e1eb07","https://www.inflearn.com/course/sql-%EA%B5%AC%EA%B8%80%EC%8B%9C%ED%8A%B8-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D",17600,19800
476,"커피 한 잔으로 정복하는 LeNet","공대형아","https://cdn.inflearn.com/public/course-326168-cover/a98a3a47-f3fd-4cb5-bdad-1b2ca1639158","https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4-%EB%94%A5%EB%9F%AC%EB%8B%9D-lenet",3850,5500
477,"리눅스 커널 해킹. A부터 Z까지","김현우","https://cdn.inflearn.com/public/course-326148-cover/d7fc414d-fad5-413c-8652-3ce28a747240","https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%BB%A4%EB%84%90-%ED%95%B4%ED%82%B9",115500,165000
478,"리그 오브 레전드 프로게이머처럼 플레이하기:BASIC","한국이스포츠아카데미","https://cdn.inflearn.com/public/courses/326136/cover/7130f677-e9b7-430e-9e00-af5a4421535f/326136-eng.jpg","https://www.inflearn.com/course/%EB%A6%AC%EA%B7%B8%EC%98%A4%EB%B8%8C%EB%A0%88%EC%A0%84%EB%93%9C-basic",69300,99000
479,"쉽고! 짧고! 강하게! 준비하는 웹디자인기능사 실기","LIZ.B","https://cdn.inflearn.com/public/course-326107-cover/382b6606-fd73-495d-a678-1a364cdb9bb5","https://www.inflearn.com/course/%EC%9B%B9%EB%94%94%EC%9E%90%EC%9D%B8%EA%B8%B0%EB%8A%A5%EC%82%AC-%EC%8B%A4%EA%B8%B0",34650,49500
480,"[베스트셀러 저자 직강] 2021 디지털 마케팅과 페이스북 / 인스타그램 광고","Gray Minkyu Lee","https://cdn.inflearn.com/public/course-326086-cover/017395e2-529b-440b-bb38-65f76490ff1f","https://www.inflearn.com/course/%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85-%ED%8E%98%EC%9D%B4%EC%8A%A4%EB%B6%81-%EC%9D%B8%EC%8A%A4%ED%83%80%EA%B7%B8%EB%9E%A8",48510,69300
481,"그리드(Grid) 핵심이론 및 실전 활용","코딩웍스(Coding Works)","https://cdn.inflearn.com/public/course-326071-cover/4cbca96e-d2b4-4ee0-850b-6c2485f10e8a","https://www.inflearn.com/course/css-%EA%B7%B8%EB%A6%AC%EB%93%9C-%EB%B0%98%EC%9D%91%ED%98%95%EC%9B%B9",26950,38500
482,"Data, Ready? Action!: 태블로 데스크탑 + 서버/온라인 연계 활용 Use Case","VizLab","https://cdn.inflearn.com/public/course-326058-cover/f5a5f9ec-218d-4391-9d15-b85162dcd0d0","https://www.inflearn.com/course/%ED%83%9C%EB%B8%94%EB%A1%9C-%EC%9E%90%EB%8F%99%ED%99%94-%ED%94%84%EB%A1%9C%EC%84%B8%EC%8A%A4",23100,33000
483,"파이썬 텍스트 분석 입문 - 데이터 수집부터 분석까지","My Incizor","https://cdn.inflearn.com/public/course-326056-cover/43a063f8-921e-4901-9785-fe8c96d4ccea","https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%ED%85%8D%EC%8A%A4%ED%8A%B8%EB%B6%84%EC%84%9D-%EC%9E%85%EB%AC%B8",30800,44000
484,"비전공자를 위한 데이터 분석가 취업 가이드","제니문","https://cdn.inflearn.com/public/course-326043-cover/c185e6d4-7693-4943-80db-67fd0cf4f42c","https://www.inflearn.com/course/%EB%B9%84%EC%A0%84%EA%B3%B5%EC%9E%90-%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%B7%A8%EC%97%85",23100,33000
